id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,84,2020,0.05,0.08
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,68,2020,0.72,0.06
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,76,2010,0.12,0.09
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,61,2020,0.81,0.04
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,90,2020,0.03,0.11
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,55,2010,0.94,0.02
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,64,2000,0.58,0.05
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,79,2020,0.44,0.07
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,73,2020,0.76,0.05
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,81,2010,0.09,0.10
11,Golden Hour Drive,Aurora Lane,indie,happy,0.68,112,0.79,0.74,0.42,72,2020,0.15,0.07
12,Electric Skyline,Nova Rush,edm,euphoric,0.96,138,0.88,0.91,0.04,88,2020,0.39,0.06
13,Quiet Mornings,Willow Creek,acoustic,relaxed,0.24,68,0.72,0.38,0.95,58,2010,0.08,0.04
14,Broken Polaroid,Velvet June,indie,sad,0.46,84,0.31,0.49,0.67,70,2020,0.10,0.08
15,Desert Thunder,Iron Mesa,rock,intense,0.89,146,0.44,0.63,0.12,75,2000,0.14,0.09
16,Blue Room Sessions,Harbor Notes,jazz,moody,0.43,94,0.52,0.57,0.83,62,1990,0.52,0.05
17,Neon Heartbeat,Pixel Hearts,synthwave,euphoric,0.84,126,0.86,0.87,0.16,83,2020,0.48,0.06
18,Sunday Window,Maple Street,folk,calm,0.32,76,0.74,0.45,0.91,60,2010,0.06,0.04
19,City Lights Again,Metro Bloom,pop,happy,0.81,121,0.83,0.85,0.21,86,2020,0.04,0.09
20,Deep Work Mode,Signal Drift,ambient,focused,0.36,70,0.58,0.40,0.88,57,2020,0.91,0.03